[Sun Oct 04 07:41:14.483998 2015] [mpm_prefork:notice] [pid 1297] AH00163: Apache/2.4.7 (Ubuntu) PHP/5.5.9-1ubuntu4.11 configured -- resuming normal operations
[Sun Oct 04 09:04:54.276236 2015] [:error] [pid 3753] [client 127.0.0.1:38649] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 09:05:14.280587 2015] [:error] [pid 3757] [client 127.0.0.1:38650] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 09:05:34.925461 2015] [:error] [pid 3282] [client 127.0.0.1:38653] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 09:05:54.350956 2015] [:error] [pid 3285] [client 127.0.0.1:38657] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 09:06:14.259957 2015] [:error] [pid 3754] [client 127.0.0.1:38659] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 09:06:34.256165 2015] [:error] [pid 3284] [client 127.0.0.1:38660] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 09:06:54.254787 2015] [:error] [pid 3283] [client 127.0.0.1:38661] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 09:07:14.256059 2015] [:error] [pid 3755] [client 127.0.0.1:38663] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 09:07:34.262383 2015] [:error] [pid 3756] [client 127.0.0.1:38666] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 09:07:54.255062 2015] [:error] [pid 3286] [client 127.0.0.1:38670] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
